UniversityType,Year,Metric,Value
State Private Open University,2019,Post Graduate Both,1403
State Private Open University,2017,Post Graduate Both,11
State Private Open University,2016,Post Graduate Both,11
All University Types,2020,Under Graduate Male,3448134
All University Types,2019,Under Graduate Male,3160539
All University Types,2018,Under Graduate Male,2928657
All University Types,2017,Under Graduate Male,2796525
All University Types,2016,Under Graduate Male,2663542
Central University,2020,Under Graduate Male,266929
Central University,2019,Under Graduate Male,277315
Central University,2018,Under Graduate Male,282489
Central University,2017,Under Graduate Male,286779
Central University,2016,Under Graduate Male,292003
Central Open University,2020,Under Graduate Male,469328
Central Open University,2019,Under Graduate Male,447586
Central Open University,2018,Under Graduate Male,395161
Central Open University,2017,Under Graduate Male,338319
Central Open University,2016,Under Graduate Male,296523
Institute of National Importance,2020,Under Graduate Male,127616
Institute of National Importance,2019,Under Graduate Male,112467
Institute of National Importance,2018,Under Graduate Male,96724
Institute of National Importance,2017,Under Graduate Male,91439
Institute of National Importance,2016,Under Graduate Male,88227
Deemed University-Government,2020,Under Graduate Male,11192
Deemed University-Government,2019,Under Graduate Male,10000
Deemed University-Government,2018,Under Graduate Male,9881
Deemed University-Government,2017,Under Graduate Male,11888
Deemed University-Government,2016,Under Graduate Male,12768
State Public University,2020,Under Graduate Male,810646
State Public University,2019,Under Graduate Male,768433
State Public University,2018,Under Graduate Male,681006
State Public University,2017,Under Graduate Male,716369
State Public University,2016,Under Graduate Male,772422
State Open University,2020,Under Graduate Male,667510
State Open University,2019,Under Graduate Male,584872
State Open University,2018,Under Graduate Male,584970
State Open University,2017,Under Graduate Male,558849
State Open University,2016,Under Graduate Male,531799
Institute under State Legislature Act,2020,Under Graduate Male,1035
Institute under State Legislature Act,2019,Under Graduate Male,1389
Institute under State Legislature Act,2018,Under Graduate Male,1283
Institute under State Legislature Act,2017,Under Graduate Male,823
Institute under State Legislature Act,2016,Under Graduate Male,784
State Private University,2020,Under Graduate Male,658725
State Private University,2019,Under Graduate Male,568894
State Private University,2018,Under Graduate Male,520804
State Private University,2017,Under Graduate Male,459409
State Private University,2016,Under Graduate Male,355481
Deemed University-Government Aided,2020,Under Graduate Male,15514
Deemed University-Government Aided,2019,Under Graduate Male,16704
Deemed University-Government Aided,2018,Under Graduate Male,16337
Deemed University-Government Aided,2017,Under Graduate Male,14924
Deemed University-Government Aided,2016,Under Graduate Male,15185
Deemed University-Private,2020,Under Graduate Male,418217
Deemed University-Private,2019,Under Graduate Male,371741
Deemed University-Private,2018,Under Graduate Male,340002
Deemed University-Private,2017,Under Graduate Male,317717
Deemed University-Private,2016,Under Graduate Male,298341
State Private Open University,2020,Under Graduate Male,1422
State Private Open University,2019,Under Graduate Male,1138
State Private Open University,2017,Under Graduate Male,9
State Private Open University,2016,Under Graduate Male,9
All University Types,2020,Under Graduate Female,2320019
All University Types,2019,Under Graduate Female,2061807
All University Types,2018,Under Graduate Female,1898976
All University Types,2017,Under Graduate Female,1737629
All University Types,2016,Under Graduate Female,1749997
Central University,2020,Under Graduate Female,249701
Central University,2019,Under Graduate Female,262955
Central University,2018,Under Graduate Female,261661
Central University,2017,Under Graduate Female,273957
